Invasive Plants Regulation
Forest and Range Practices Act
Weed Species
Scientific name
Anchusa
Anchusa officinalis
Baby's breath
Gypsophila paniculata
Black knapweed
Centaurea nigra
Blueweed
Echium vulgare
Brown knapweed
Centaurea jacea
Bull thistle
Cirsium vulgare
Canada thistle
Cirsium arvense
Common burdock
Arctium minus
Common tansy
Tanacetum vulgare
Dalmatian toadflax
Linaria dalmatica
Diffuse knapweed
Centaurea diffusa
Field scabious
Knautia arvensis
Giant knotweed
Polygonum sachalinense
Gorse
Ulex europaeus
Hoary alyssum
Berteroa incana
Hoary cress
Cardaria draba
Hound's-tongue
Cynoglossum officinale
Japanese knotweed
Polygonum cuspidatum
Leafy spurge
Euphorbia esula
Marsh thistle
Cirsium palustre
Meadow hawkweed
Hieracium pilosella.
Meadow knapweed
Centaurea pratensis
Nodding thistle
Carduus nutans
Orange hawkweed
Hieracium aurantiacum
Oxeye daisy
Chrysanthemum leucanthemem
Perennial pepperweed
Lepidium latifolium
Plumeless thistle
Carduus acanthoides
Puncture vine
Tribulus terrestris
Purple loosestrife
Lythrum salicaria
Rush skeletonweed
Chondrilla juncea
Russian knapweed
Acroptilon repens
Scentless chamomile
Matricaria maritima
Scotch broom
Cytisus scoparius
Scotch thistle
Onopordum acanthium
Spotted knapweed
Centaurea maculosa
St. John's wort
Hypericum perforatum
Sulphur cinquefoil
Potentilla recta
Tansy ragwort
Senecio jacobaea
Teasel
Dipsacus fullonum
Yellow Iris
Iris pseudacorus
Yellow starthistle
Centaurea solstitialis
Yellow toadflax
Linaria vulgaris
